pozymis,svarba
rinktuvu_apsaugos_zonu_proc,0.4296925562633882
ar_yra_gyvenamoji_zona,0.1835353393053077
ar_yra_zemes_ukio_zona,0.17346728047617774
zonu_kiekis,0.04435783150048331
antra_zona_proc,0.03582052535942615
pagrindine_zona_proc,0.03548132289688102
misko_proc,0.029040807716658904
ar_yra_pramones_zona,0.02875418051661227
parku_proc,0.026859757634196492
ar_yra_misku_zona,0.009242145858807798
draustiniu_proc,0.002023586209980399
bast_proc,0.001724666262080165
past_proc,0.0
biosferos_poligonu_proc,0.0
rezervatu_proc,0.0
buferiniu_apsaugos_zonu_proc,0.0
pajurio_juostos_proc,0.0
kvr_apsaugos_zonu_proc,0.0
kvr_poligonu_proc,0.0
pelkiu_proc,0.0
saltinynu_proc,0.0
pievu_ganyklu_proc,0.0
gelezinkelio_ribojimo_zonos_proc,0.0
